job_id,subtime,start_time,finish_time,waiting_time
27464,5133741,5134100.0,5134554.0,359.0
27470,5134551,5134551.0,5134586.0,0.0
27471,5134667,5134667.0,5134698.0,0.0
27475,5135131,5135131.0,5135297.0,0.0
27445,5130625,5132743.0,5135435.0,2118.0
27478,5136029,5136029.0,5136644.0,0.0
27465,5133902,5136800.0,5136818.0,2898.0
27487,5136969,5136969.0,5136989.0,0.0
27480,5136112,5136644.0,5137237.0,532.0
27489,5137043,5137237.0,5138170.0,194.0
27494,5137807,5138170.0,5138642.0,363.0
27498,5137982,5138642.0,5138688.0,660.0
27500,5138066,5138642.0,5138708.0,576.0
27436,5127957,5130657.0,5138943.0,2700.0
27504,5138295,5138943.0,5139041.0,648.0
27482,5136269,5139424.0,5139626.0,3155.0
27506,5138474,5139626.0,5139710.0,1152.0
27509,5138802,5139710.0,5139731.0,908.0
27508,5138780,5139710.0,5139818.0,930.0
27511,5138874,5139818.0,5139855.0,944.0
27483,5136307,5139007.0,5139899.0,2700.0
27515,5139338,5139899.0,5139976.0,561.0
27516,5139591,5139710.0,5139991.0,119.0
27523,5139878,5139976.0,5140011.0,98.0
27513,5138987,5139855.0,5140026.0,868.0
27467,5134221,5134221.0,5140253.0,0.0
27526,5140258,5140258.0,5140294.0,0.0
27510,5138854,5140253.0,5140310.0,1399.0
27525,5140193,5140193.0,5140356.0,0.0
27490,5137121,5140397.0,5140425.0,3276.0
27522,5139845,5140425.0,5140493.0,580.0
27493,5137805,5140505.0,5140560.0,2700.0
27531,5140579,5140579.0,5140662.0,0.0
27532,5140648,5140648.0,5140695.0,0.0
27533,5140692,5140692.0,5140726.0,0.0
27503,5138218,5138708.0,5140756.0,490.0
27512,5138934,5140310.0,5140860.0,1376.0
27535,5140841,5140860.0,5140991.0,19.0
27495,5137862,5140682.0,5141102.0,2820.0
27530,5140390,5140860.0,5141494.0,470.0
27529,5140348,5140348.0,5141598.0,0.0
27543,5141484,5141484.0,5141633.0,0.0
27524,5140157,5140493.0,5141690.0,336.0
27544,5141596,5141690.0,5141741.0,94.0
27546,5141791,5141791.0,5141929.0,0.0
27528,5140309,5140756.0,5142044.0,447.0
27505,5138401,5139041.0,5142107.0,640.0
27548,5142055,5142055.0,5142118.0,0.0
27549,5142203,5142203.0,5142255.0,0.0
27550,5142265,5142265.0,5142318.0,0.0
27551,5142353,5142353.0,5142425.0,0.0
27553,5142440,5142440.0,5142539.0,0.0
27555,5142462,5142462.0,5142541.0,0.0
27554,5142445,5142445.0,5142626.0,0.0
27556,5142643,5142643.0,5142703.0,0.0
27562,5143017,5143034.0,5143064.0,17.0
27563,5143034,5143034.0,5143098.0,0.0
27570,5143225,5143225.0,5143280.0,0.0
27565,5143085,5143191.0,5143296.0,106.0
27537,5141101,5141484.0,5143322.0,383.0
27558,5142765,5142765.0,5143370.0,0.0
27536,5141036,5141494.0,5143375.0,458.0
27569,5143191,5143375.0,5143463.0,184.0
27561,5142974,5143370.0,5143493.0,396.0
27573,5143466,5143466.0,5143507.0,0.0
27574,5143533,5143533.0,5143643.0,0.0
27575,5143558,5143558.0,5143648.0,0.0
27576,5143630,5143630.0,5143662.0,0.0
27578,5143683,5143683.0,5143686.0,0.0
27579,5143699,5143699.0,5143702.0,0.0
27580,5143843,5143843.0,5143846.0,0.0
27581,5143854,5143854.0,5143857.0,0.0
27491,5137163,5139863.0,5145626.0,2700.0
27617,5145637,5145637.0,5145667.0,0.0
27618,5145702,5145702.0,5145708.0,0.0
27571,5143373,5146075.0,5146129.0,2702.0
27582,5144471,5147171.0,5147260.0,2700.0
27584,5144506,5147206.0,5147293.0,2700.0
27583,5144499,5147199.0,5147297.0,2700.0
27591,5144689,5147389.0,5147429.0,2700.0
27592,5144705,5147405.0,5147447.0,2700.0
27593,5144775,5147475.0,5147498.0,2700.0
27589,5144650,5147350.0,5147663.0,2700.0
27598,5145000,5147700.0,5147742.0,2700.0
27599,5145010,5147710.0,5147759.0,2700.0
27604,5145131,5147831.0,5147833.0,2700.0
27636,5146639,5147833.0,5147871.0,1194.0
27606,5145187,5147887.0,5147891.0,2700.0
27646,5146921,5147871.0,5147911.0,950.0
27649,5147024,5147891.0,5147915.0,867.0
27605,5145168,5147868.0,5147925.0,2700.0
27651,5147075,5147911.0,5147934.0,836.0
27587,5144563,5147759.0,5147947.0,3196.0
27658,5147477,5147915.0,5147950.0,438.0
27660,5147537,5147934.0,5147956.0,397.0
27594,5144787,5147947.0,5148009.0,3160.0
27608,5145273,5147973.0,5148013.0,2700.0
27641,5146786,5147956.0,5148032.0,1170.0
27642,5146798,5148032.0,5148103.0,1234.0
27597,5144976,5148009.0,5148105.0,3033.0
27639,5146723,5147925.0,5148223.0,1202.0
27615,5145599,5148299.0,5148323.0,2700.0
27662,5147585,5148103.0,5148530.0,518.0
27671,5148210,5148563.0,5148588.0,353.0
27614,5145466,5148563.0,5148633.0,3097.0
27675,5148426,5148588.0,5148755.0,162.0
27629,5146344,5148563.0,5148766.0,2219.0
27609,5145371,5148748.0,5148777.0,3377.0
27622,5145922,5148762.0,5148788.0,2840.0
27677,5148511,5148755.0,5148806.0,244.0
27613,5145463,5148777.0,5148874.0,3314.0
27610,5145387,5148563.0,5148885.0,3176.0
27611,5145391,5148091.0,5148886.0,2700.0
27638,5146695,5148633.0,5148952.0,1938.0
27681,5148908,5149066.0,5149114.0,158.0
27687,5149164,5149164.0,5149185.0,0.0
27661,5147563,5148788.0,5149237.0,1225.0
27630,5146366,5149066.0,5149246.0,2700.0
27601,5145077,5149237.0,5149256.0,4160.0
27603,5145098,5149256.0,5149282.0,4158.0
27607,5145216,5149282.0,5149412.0,4066.0
27689,5149390,5149390.0,5149418.0,0.0
27634,5146566,5149266.0,5149425.0,2700.0
27674,5148401,5149246.0,5149436.0,845.0
27616,5145633,5149412.0,5149510.0,3779.0
27692,5149473,5149473.0,5149529.0,0.0
27619,5145734,5149510.0,5149585.0,3776.0
27602,5145083,5147783.0,5149588.0,2700.0
27694,5149563,5149563.0,5149666.0,0.0
27695,5149580,5149580.0,5149670.0,0.0
27696,5149591,5149591.0,5149672.0,0.0
27600,5145013,5148105.0,5149678.0,3092.0
27697,5149707,5149707.0,5149737.0,0.0
27698,5149749,5149749.0,5149766.0,0.0
27626,5146144,5149678.0,5149776.0,3534.0
27625,5146076,5149670.0,5149782.0,3594.0
27623,5145986,5149678.0,5149803.0,3692.0
27700,5149787,5149787.0,5149813.0,0.0
27627,5146229,5149776.0,5149836.0,3547.0
27637,5146658,5149782.0,5149845.0,3124.0
27643,5146866,5149845.0,5149927.0,2979.0
27701,5149791,5149803.0,5149966.0,12.0
27621,5145834,5149585.0,5149979.0,3751.0
27645,5146880,5149927.0,5150008.0,3047.0
27653,5147120,5149979.0,5150059.0,2859.0
27652,5147113,5149979.0,5150066.0,2866.0
27659,5147497,5150008.0,5150079.0,2511.0
27706,5150063,5150063.0,5150111.0,0.0
27666,5147781,5150059.0,5150118.0,2278.0
27670,5148092,5150066.0,5150134.0,1974.0
27631,5146403,5149979.0,5150148.0,3576.0
27683,5149014,5150079.0,5150166.0,1065.0
27628,5146255,5149836.0,5150235.0,3581.0
27685,5149030,5150166.0,5150237.0,1136.0
27635,5146608,5150148.0,5150260.0,3540.0
27686,5149132,5150237.0,5150297.0,1105.0
27705,5150006,5150297.0,5150412.0,291.0
27699,5149770,5150297.0,5150474.0,527.0
27647,5146951,5150260.0,5150492.0,3309.0
27702,5149853,5150474.0,5150542.0,621.0
27708,5150301,5150542.0,5150630.0,241.0
27714,5150577,5150577.0,5150633.0,0.0
27717,5150656,5150656.0,5150701.0,0.0
27709,5150307,5150630.0,5150712.0,323.0
27640,5146780,5150235.0,5150800.0,3455.0
27656,5147358,5150800.0,5150891.0,3442.0
27657,5147451,5150891.0,5151008.0,3440.0
27664,5147631,5151008.0,5151040.0,3377.0
27665,5147676,5151040.0,5151147.0,3364.0
27718,5150801,5150801.0,5151234.0,0.0
27620,5145758,5151229.0,5151281.0,5471.0
27667,5147912,5151147.0,5151305.0,3235.0
27723,5151371,5151371.0,5151401.0,0.0
27669,5148088,5151305.0,5151406.0,3217.0
27724,5151384,5151401.0,5151501.0,17.0
27672,5148264,5151406.0,5151539.0,3142.0
27612,5145394,5151229.0,5151545.0,5835.0
27711,5150454,5151539.0,5151581.0,1085.0
27727,5151540,5151545.0,5151615.0,5.0
27725,5151393,5151501.0,5151624.0,108.0
27673,5148359,5151539.0,5151693.0,3180.0
27688,5149311,5151693.0,5151785.0,2382.0
27703,5149955,5151785.0,5151956.0,1830.0
27713,5150529,5151956.0,5152074.0,1427.0
27728,5151562,5152074.0,5152155.0,512.0
27679,5148680,5151624.0,5152247.0,2944.0
27730,5151875,5152155.0,5152278.0,280.0
27655,5147258,5148766.0,5152385.0,1508.0
27731,5151883,5152278.0,5152407.0,395.0
27585,5144514,5148802.0,5152519.0,4288.0
27737,5152454,5152454.0,5152531.0,0.0
27738,5152460,5152531.0,5152647.0,71.0
27743,5152622,5152647.0,5152755.0,25.0
27732,5151995,5152385.0,5152799.0,390.0
27690,5149397,5152247.0,5152803.0,2850.0
27746,5152784,5152799.0,5152989.0,15.0
27729,5151605,5152155.0,5153226.0,550.0
27750,5153208,5153208.0,5153353.0,0.0
27748,5153009,5153226.0,5153353.0,217.0
27704,5149986,5152803.0,5153432.0,2817.0
27749,5153037,5153353.0,5153493.0,316.0
27754,5153417,5153493.0,5153501.0,76.0
27755,5153484,5153501.0,5153595.0,17.0
27756,5153491,5153595.0,5153710.0,104.0
